"","United States","","Georgia","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Savannah, GA Metro Area",""
"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error"
"Total:","317,248,555","±13,812","10,075,118","±2,765","5,632,204","±1,904","371,922","±570"
"    1 to 4 years","16,097,663","±13,825","530,911","±2,730","302,968","±1,910","19,656","±586"
"    5 to 17 years","53,747,764","±5,382","1,841,775","±966","1,064,751","±481","63,129","±105"
"    18 and 19 years","8,629,519","±7,501","288,734","±2,330","150,504","±919","11,460","±312"
"    20 to 24 years","22,501,965","±7,058","719,872","±2,395","377,215","±1,086","29,218","±352"
"    25 to 29 years","22,406,918","±6,427","712,031","±1,852","397,990","±620","31,536","±122"
"    30 to 34 years","21,637,255","±4,761","689,578","±1,524","400,037","±652","28,176","±247"
"    35 to 39 years","20,389,409","±25,141","681,500","±5,487","406,578","±4,171","24,904","±1,004"
"    40 to 44 years","20,267,010","±25,573","692,923","±5,170","415,550","±4,221","23,349","±960"
"    45 to 49 years","20,961,596","±5,798","701,759","±1,262","421,645","±691","22,803","±206"
"    50 to 54 years","22,129,547","±4,961","705,283","±1,317","405,715","±587","23,922","±132"
"    55 to 59 years","21,523,460","±22,187","647,598","±4,156","355,692","±2,897","23,709","±721"
"    60 to 64 years","19,224,060","±21,739","562,724","±4,171","298,051","±2,770","20,329","±713"
"    65 to 69 years","15,926,903","±17,846","467,275","±3,498","239,792","±2,538","17,538","±562"
"    70 to 74 years","11,576,486","±17,881","335,122","±3,181","163,911","±2,528","12,569","±572"
"    75 years and over","20,229,000","±3,677","498,033","±886","231,805","±560","19,624","±113"
"    Same house 1 year ago:","270,854,872","±198,355","8,490,573","±14,685","4,750,475","±11,560","294,307","±3,445"
"        1 to 4 years","12,969,704","±28,124","419,028","±3,592","241,059","±2,825","15,006","±773"
"        5 to 17 years","46,832,461","±59,184","1,575,455","±5,275","913,310","±4,674","51,252","±983"
"        18 and 19 years","6,249,762","±9,410","207,176","±2,594","115,850","±1,661","6,344","±483"
"        20 to 24 years","15,745,961","±17,225","505,266","±4,198","268,726","±3,269","18,329","±777"
"        25 to 29 years","16,115,837","±19,789","505,300","±4,077","280,430","±2,844","20,082","±978"
"        30 to 34 years","17,084,992","±24,809","535,794","±3,102","308,112","±2,038","20,514","±837"
"        35 to 39 years","17,113,107","±33,429","562,171","±5,465","335,227","±4,250","19,111","±921"
"        40 to 44 years","17,684,547","±32,906","600,033","±5,085","359,332","±4,027","20,062","±959"
"        45 to 49 years","18,749,757","±19,790","624,739","±2,273","375,141","±1,633","19,092","±565"
"        50 to 54 years","20,102,305","±17,805","632,369","±2,831","363,749","±2,136","20,496","±404"
"        55 to 59 years","19,786,418","±24,997","589,816","±3,769","323,711","±2,886","20,305","±741"
"        60 to 64 years","17,816,102","±22,457","518,603","±4,077","273,640","±2,717","18,112","±688"
"        65 to 69 years","14,915,887","±18,722","435,566","±3,559","223,885","±2,643","15,929","±533"
"        70 to 74 years","10,891,806","±17,041","315,031","±2,937","153,559","±2,415","11,855","±542"
"        75 years and over","18,796,226","±9,603","464,226","±1,583","214,744","±1,199","17,818","±437"
"    Moved within same county:","26,717,038","±141,098","778,937","±11,078","420,013","±8,668","41,604","±2,735"
"        1 to 4 years","1,986,282","±18,569","58,846","±2,122","30,000","±1,688","2,507","±439"
"        5 to 17 years","4,521,666","±44,127","153,185","±3,894","82,917","±3,613","7,830","±960"
"        18 and 19 years","876,985","±7,961","28,056","±1,271","14,998","±1,031","1,459","±298"
"        20 to 24 years","3,702,951","±16,089","100,761","±3,593","48,190","±2,307","5,863","±538"
"        25 to 29 years","3,513,375","±16,414","96,654","±3,011","52,363","±2,240","5,750","±625"
"        30 to 34 years","2,612,839","±17,634","74,462","±2,312","42,679","±1,540","3,696","±568"
"        35 to 39 years","1,925,752","±17,137","59,189","±2,137","34,611","±1,564","3,458","±462"
"        40 to 44 years","1,544,655","±15,302","47,924","±1,827","28,724","±1,576","1,851","±414"
"        45 to 49 years","1,324,907","±11,877","37,744","±1,457","22,425","±1,096","2,141","±503"
"        50 to 54 years","1,198,253","±11,951","35,838","±1,767","19,939","±1,217","2,039","±298"
"        55 to 59 years","994,355","±9,954","27,748","±1,495","14,719","±1,207","2,034","±467"
"        60 to 64 years","768,994","±7,038","20,244","±988","10,620","±844","1,034","±287"
"        65 to 69 years","520,823","±5,615","13,521","±999","6,331","±742","706","±200"
"        70 to 74 years","366,643","±3,950","9,298","±831","4,532","±671","329","±123"
"        75 years and over","858,558","±6,352","15,467","±831","6,965","±660","907","±237"
"    Moved from different county within same state:","10,247,779","±46,126","468,374","±7,815","269,635","±6,761","15,166","±1,268"
"        1 to 4 years","590,823","±8,360","30,594","±1,746","19,212","±1,502","902","±364"
"        5 to 17 years","1,208,487","±15,710","64,131","±2,953","38,498","±2,351","1,586","±380"
"        18 and 19 years","872,357","±5,966","36,423","±1,495","12,303","±1,059","1,996","±332"
"        20 to 24 years","1,674,458","±10,451","68,271","±2,380","37,363","±1,695","2,147","±354"
"        25 to 29 years","1,453,819","±9,908","66,042","±2,558","40,698","±1,963","2,394","±495"
"        30 to 34 years","993,411","±8,724","44,742","±1,634","28,150","±1,295","1,702","±341"
"        35 to 39 years","694,109","±8,080","34,706","±1,786","21,132","±1,511","960","±286"
"        40 to 44 years","535,150","±6,903","25,663","±1,330","15,713","±1,214","722","±166"
"        45 to 49 years","470,832","±6,130","23,567","±1,264","14,565","±1,024","793","±229"
"        50 to 54 years","440,967","±5,233","21,454","±1,400","12,515","±1,082","388","±122"
"        55 to 59 years","375,832","±4,830","17,585","±1,133","9,787","±914","558","±172"
"        60 to 64 years","299,141","±3,528","12,003","±827","7,231","±652","311","±130"
"        65 to 69 years","211,268","±3,139","8,762","±847","4,630","±611","245","±121"
"        70 to 74 years","138,858","±2,385","5,101","±534","2,575","±380","182","±103"
"        75 years and over","288,267","±4,310","9,330","±743","5,263","±609","280","±149"
"    Moved from different state:","7,354,769","±34,903","279,810","±7,273","153,947","±5,472","18,076","±2,023"
"        1 to 4 years","438,814","±5,409","18,700","±1,308","10,114","±968","1,044","±310"
"        5 to 17 years","892,947","±11,535","41,480","±2,477","24,525","±1,963","2,301","±553"
"        18 and 19 years","531,365","±4,368","14,440","±1,110","5,513","±734","1,369","±274"
"        20 to 24 years","1,090,933","±8,551","39,058","±1,820","19,044","±1,384","2,398","±410"
"        25 to 29 years","1,044,165","±9,455","36,040","±1,788","19,315","±1,178","2,899","±487"
"        30 to 34 years","726,553","±7,019","28,012","±1,419","16,901","±1,095","1,876","±405"
"        35 to 39 years","501,913","±6,617","20,814","±1,426","12,580","±1,176","1,194","±321"
"        40 to 44 years","381,712","±5,673","15,790","±942","9,423","±835","611","±178"
"        45 to 49 years","321,897","±4,837","13,495","±1,031","8,024","±895","713","±216"
"        50 to 54 years","305,273","±4,778","12,862","±902","7,627","±766","892","±239"
"        55 to 59 years","289,016","±4,828","10,158","±938","5,876","±707","770","±298"
"        60 to 64 years","262,157","±4,507","9,262","±924","4,761","±609","697","±299"
"        65 to 69 years","212,805","±3,766","7,666","±726","3,936","±449","522","±230"
"        70 to 74 years","134,148","±2,948","4,535","±619","2,335","±509","189","±92"
"        75 years and over","221,071","±3,490","7,498","±793","3,973","±473","601","±410"
