"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"Label (Grouping)","Albany, GA Metro Area!!Estimate","Albany, GA Metro Area!!Margin of Error","Americus, GA Micro Area!!Estimate","Americus, GA Micro Area!!Margin of Error","Athens-Clarke County, GA Metro Area!!Estimate","Athens-Clarke County, GA Metro Area!!Margin of Error","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Margin of Error","Augusta-Richmond County, GA-SC Metro Area!!Estimate","Augusta-Richmond County, GA-SC Metro Area!!Margin of Error","Bainbridge, GA Micro Area!!Estimate","Bainbridge, GA Micro Area!!Margin of Error","Brunswick, GA Metro Area!!Estimate","Brunswick, GA Metro Area!!Margin of Error","Calhoun, GA Micro Area!!Estimate","Calhoun, GA Micro Area!!Margin of Error","Cedartown, GA Micro Area!!Estimate","Cedartown, GA Micro Area!!Margin of Error","Chattanooga, TN-GA Metro Area!!Estimate","Chattanooga, TN-GA Metro Area!!Margin of Error","Columbus, GA-AL Metro Area!!Estimate","Columbus, GA-AL Metro Area!!Margin of Error","Cordele, GA Micro Area!!Estimate","Cordele, GA Micro Area!!Margin of Error","Cornelia, GA Micro Area!!Estimate","Cornelia, GA Micro Area!!Margin of Error","Dalton, GA Metro Area!!Estimate","Dalton, GA Metro Area!!Margin of Error","Douglas, GA Micro Area!!Estimate","Douglas, GA Micro Area!!Margin of Error","Dublin, GA Micro Area!!Estimate","Dublin, GA Micro Area!!Margin of Error","Eufaula, AL-GA Micro Area!!Estimate","Eufaula, AL-GA Micro Area!!Margin of Error","Fitzgerald, GA Micro Area!!Estimate","Fitzgerald, GA Micro Area!!Margin of Error","Gainesville, GA Metro Area!!Estimate","Gainesville, GA Metro Area!!Margin of Error","Hinesville, GA Metro Area!!Estimate","Hinesville, GA Metro Area!!Margin of Error","Jefferson, GA Micro Area!!Estimate","Jefferson, GA Micro Area!!Margin of Error","Jesup, GA Micro Area!!Estimate","Jesup, GA Micro Area!!Margin of Error","LaGrange, GA Micro Area!!Estimate","LaGrange, GA Micro Area!!Margin of Error","Macon-Bibb County, GA Metro Area!!Estimate","Macon-Bibb County, GA Metro Area!!Margin of Error","Milledgeville, GA Micro Area!!Estimate","Milledgeville, GA Micro Area!!Margin of Error","Moultrie, GA Micro Area!!Estimate","Moultrie, GA Micro Area!!Margin of Error","Rome, GA Metro Area!!Estimate","Rome, GA Metro Area!!Margin of Error","St. Marys, GA Micro Area!!Estimate","St. Marys, GA Micro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error","Statesboro, GA Micro Area!!Estimate","Statesboro, GA Micro Area!!Margin of Error","Summerville, GA Micro Area!!Estimate","Summerville, GA Micro Area!!Margin of Error","Thomaston, GA Micro Area!!Estimate","Thomaston, GA Micro Area!!Margin of Error","Thomasville, GA Micro Area!!Estimate","Thomasville, GA Micro Area!!Margin of Error","Tifton, GA Micro Area!!Estimate","Tifton, GA Micro Area!!Margin of Error","Toccoa, GA Micro Area!!Estimate","Toccoa, GA Micro Area!!Margin of Error","Valdosta, GA Metro Area!!Estimate","Valdosta, GA Metro Area!!Margin of Error","Vidalia, GA Micro Area!!Estimate","Vidalia, GA Micro Area!!Margin of Error","Warner Robins, GA Metro Area!!Estimate","Warner Robins, GA Metro Area!!Margin of Error","Waycross, GA Micro Area!!Estimate","Waycross, GA Micro Area!!Margin of Error","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error"
"Total:","151,024","±351","35,182","±112","202,783","±300","5,710,378","±1,995","586,368","±660","26,546","±125","115,238","±279","56,128","±187","41,050","±205","545,968","±643","303,523","±426","22,660","±92","43,834","±129","141,442","±289","42,444","±162","56,524","±134","27,705","±168","16,950","±111","193,658","±375","78,626","±263","65,170","±158","29,400","±195","68,795","±231","226,565","±452","53,341","±155","44,942","±184","95,766","±228","51,833","±196","376,063","±609","74,133","±162","24,596","±94","25,936","±132","44,128","±155","39,731","±175","25,455","±125","142,859","±272","35,607","±122","187,537","±363","54,070","±175","319,157,088","±16,215","10,171,713","±3,038"
"    1 to 4 years","7,848","±345","1,772","±153","8,743","±304","302,962","±2,037","29,320","±609","1,515","±132","5,276","±297","2,854","±184","2,252","±202","25,304","±638","17,359","±451","1,278","±142","2,199","±127","7,548","±292","2,397","±162","3,073","±190","1,163","±87","883","±122","10,708","±369","6,083","±259","3,677","±168","1,695","±225","3,581","±232","11,498","±461","2,021","±228","2,531","±182","4,793","±232","3,011","±198","19,626","±633","3,586","±163","1,154","±118","1,516","±186","2,260","±158","2,034","±180","1,263","±206","8,228","±328","1,923","±121","9,688","±396","2,925","±175","16,090,908","±17,312","530,039","±3,029"
"    5 to 17 years","27,482","±153","6,138","±155","30,165","±136","1,070,432","±394","101,970","±277","4,795","±37","19,146","±140","10,702","±27","7,970","±88","86,423","±236","52,892","±198","4,215","±106","7,389","±118","27,876","±90","7,636","±51","9,960","±159","4,341","±92","3,258","±50","37,940","±40","14,954","±85","12,511","±67","5,308","±95","12,757","±27","40,036","±165","7,405","±189","8,860","±61","16,821","±128","9,047","±62","63,536","±125","10,757","±83","4,239","±113","4,287","±131","7,894","±33","7,254","±36","4,260","±180","24,445","±285","6,713","±49","34,692","±355","9,744","±150","53,716,390","±6,152","1,845,485","±991"
"    18 and 19 years","4,661","±229","1,337","±238","12,831","±374","151,886","±860","15,473","±440","772","±201","2,594","±268","1,287","±157","1,056","±160","13,548","±238","8,879","±348","644","±174","1,374","±175","3,537","±124","1,189","±218","1,505","±195","544","±40","489","±143","4,745","±120","2,084","±277","1,449","±180","778","±154","1,941","±81","6,190","±307","3,189","±276","1,273","±204","3,118","±157","1,626","±213","11,300","±251","6,805","±325","562","±76","531","±122","946","±19","1,698","±267","829","±155","5,585","±214","953","±202","5,271","±276","1,203","±168","8,616,749","±7,455","290,996","±1,603"
"    20 to 24 years","11,262","±246","3,470","±287","26,933","±398","380,030","±954","40,303","±537","1,667","±203","6,705","±267","3,504","±151","2,354","±161","34,576","±296","23,561","±371","1,438","±186","3,246","±202","9,526","±147","3,315","±219","3,660","±242","1,751","±75","920","±161","13,149","±130","8,561","±319","3,300","±202","1,569","±172","5,092","±148","15,639","±322","5,978","±298","2,839","±198","6,947","±231","5,170","±220","28,875","±244","11,513","±317","1,563","±92","1,629","±195","2,597","±90","2,955","±260","1,818","±211","16,589","±320","2,418","±247","13,241","±378","3,032","±167","22,286,970","±7,276","718,646","±1,809"
"    25 to 29 years","10,596","±250","2,221","±153","15,815","±179","410,208","±632","43,731","±391","1,734","±46","7,073","±255","3,592","±131","2,865","±212","38,144","±289","25,548","±376","1,128","±90","2,422","±121","9,881","±246","3,068","±73","3,446","±110","1,975","±90","1,002","±100","13,130","±104","8,603","±250","4,130","±225","1,942","±187","4,798","±146","15,361","±308","3,487","±166","2,882","±111","6,292","±200","4,701","±240","31,823","±194","5,669","±86","1,736","±105","1,648","±198","2,712","±78","2,750","±61","1,431","±120","11,504","±228","2,313","±193","13,716","±279","3,653","±220","22,779,537","±5,420","727,688","±1,587"
"    30 to 34 years","9,614","±308","2,075","±176","13,271","±238","402,588","±723","40,010","±458","1,692","±74","6,653","±224","3,537","±144","2,554","±168","35,315","±323","22,031","±301","1,382","±228","2,408","±92","9,001","±173","2,810","±111","3,260","±142","2,040","±108","908","±152","12,277","±64","6,424","±216","4,184","±64","2,101","±270","4,544","±166","13,717","±207","3,001","±129","2,947","±74","5,706","±54","3,627","±118","28,824","±199","4,549","±113","1,311","±71","1,295","±134","2,723","±102","2,506","±76","1,385","±99","9,726","±311","2,330","±286","13,731","±239","3,219","±122","21,788,439","±5,382","692,096","±1,527"
"    35 to 39 years","9,558","±562","1,824","±258","12,344","±695","411,238","±4,180","37,566","±1,294","1,450","±246","6,388","±528","4,008","±394","2,390","±403","35,137","±999","19,755","±960","1,343","±268","2,928","±284","8,827","±587","2,363","±283","3,892","±336","1,794","±173","986","±207","12,552","±586","5,112","±418","4,449","±351","1,751","±277","4,622","±379","13,718","±613","3,225","±367","3,356","±309","5,396","±365","3,128","±306","25,476","±1,131","4,339","±466","1,797","±230","1,471","±248","2,479","±282","2,556","±338","1,125","±208","8,219","±546","1,933","±304","12,827","±733","3,802","±439","20,730,622","±27,746","690,300","±5,401"
"    40 to 44 years","8,751","±563","2,087","±269","12,379","±655","409,380","±4,172","35,245","±1,309","1,720","±246","7,021","±563","3,392","±463","2,757","±369","34,020","±1,031","18,408","±958","1,303","±272","2,638","±306","9,642","±580","3,172","±265","3,216","±279","1,496","±187","1,164","±214","12,561","±581","4,183","±405","4,899","±363","2,072","±249","3,917","±400","13,604","±652","2,798","±355","2,466","±301","6,392","±374","2,776","±312","23,492","±1,085","3,458","±452","1,394","±231","1,595","±244","2,748","±276","2,626","±313","1,478","±219","8,335","±637","2,383","±291","11,380","±773","3,244","±331","20,032,588","±29,048","682,251","±5,454"
