"","United States","","Georgia","","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","Savannah, GA Metro Area",""
"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error"
"Total:","320,984,519","±12,103","10,277,909","±2,790","5,793,481","±2,187","380,861","±658"
"    1 to 4 years","16,054,394","±12,007","530,739","±2,907","304,132","±2,210","20,192","±672"
"    5 to 17 years","53,661,722","±6,266","1,848,563","±1,131","1,075,323","±514","63,707","±131"
"    18 and 19 years","8,631,219","±8,338","294,940","±1,854","154,043","±686","11,448","±297"
"    20 to 24 years","22,015,108","±8,084","715,388","±2,238","381,717","±1,003","28,392","±295"
"    25 to 29 years","23,069,320","±7,490","743,604","±1,545","422,323","±744","31,827","±261"
"    30 to 34 years","21,961,095","±5,749","697,170","±1,904","406,705","±797","29,180","±235"
"    35 to 39 years","21,071,305","±25,436","698,081","±5,612","416,687","±3,974","26,317","±1,105"
"    40 to 44 years","19,907,526","±25,995","676,053","±5,493","404,709","±4,026","23,667","±1,091"
"    45 to 49 years","20,727,770","±6,816","709,614","±1,381","430,242","±741","23,132","±244"
"    50 to 54 years","21,344,850","±5,613","697,514","±1,388","409,155","±584","23,447","±188"
"    55 to 59 years","21,654,255","±22,584","666,857","±4,886","373,829","±3,665","24,635","±843"
"    60 to 64 years","20,102,159","±22,608","592,901","±4,911","316,923","±3,660","21,072","±852"
"    65 to 69 years","16,840,799","±18,523","495,734","±3,294","256,651","±2,658","18,911","±816"
"    70 to 74 years","12,701,467","±18,226","371,561","±3,422","185,335","±2,651","13,809","±826"
"    75 years and over","21,241,530","±4,060","539,190","±1,069","255,707","±556","21,125","±158"
"    Same house 1 year ago:","275,328,008","±182,093","8,730,768","±16,116","4,931,282","±13,281","304,386","±3,582"
"        1 to 4 years","13,083,237","±26,141","425,890","±4,155","246,561","±3,476","15,124","±717"
"        5 to 17 years","47,015,465","±56,175","1,594,152","±5,968","932,971","±4,448","52,409","±1,170"
"        18 and 19 years","6,312,351","±10,589","221,257","±2,582","124,593","±1,543","6,721","±634"
"        20 to 24 years","15,602,439","±21,488","516,393","±4,206","280,604","±3,129","18,124","±822"
"        25 to 29 years","16,771,570","±20,531","535,371","±3,387","300,678","±2,674","20,580","±884"
"        30 to 34 years","17,428,219","±24,065","545,597","±3,870","316,132","±3,088","21,705","±842"
"        35 to 39 years","17,765,275","±31,429","579,889","±5,366","346,708","±3,937","20,773","±1,097"
"        40 to 44 years","17,413,544","±32,504","588,730","±5,166","352,759","±4,114","20,022","±1,057"
"        45 to 49 years","18,570,664","±18,734","628,538","±2,781","381,464","±2,371","19,203","±543"
"        50 to 54 years","19,393,598","±19,540","627,575","±2,689","367,916","±2,045","20,311","±535"
"        55 to 59 years","19,895,029","±26,248","608,453","±4,529","341,272","±3,432","21,082","±1,000"
"        60 to 64 years","18,623,905","±23,973","545,405","±4,887","290,710","±3,634","18,598","±810"
"        65 to 69 years","15,757,851","±17,858","462,118","±3,462","239,560","±2,488","17,126","±834"
"        70 to 74 years","11,947,652","±18,706","349,235","±3,523","173,301","±2,614","12,982","±790"
"        75 years and over","19,747,209","±9,747","502,165","±1,720","236,053","±1,261","19,626","±313"
"    Moved within same county:","25,736,976","±133,956","721,736","±10,860","391,543","±7,420","40,028","±2,581"
"        1 to 4 years","1,839,535","±19,424","51,673","±2,452","25,974","±1,535","2,795","±420"
"        5 to 17 years","4,253,847","±44,248","141,055","±5,030","74,308","±3,308","7,660","±999"
"        18 and 19 years","828,490","±8,973","23,002","±1,273","12,155","±868","1,335","±357"
"        20 to 24 years","3,430,781","±16,558","85,769","±3,044","41,303","±1,934","4,752","±645"
"        25 to 29 years","3,465,384","±17,264","92,884","±2,515","52,392","±1,943","5,511","±744"
"        30 to 34 years","2,553,527","±17,113","69,456","±2,559","39,592","±1,935","3,854","±680"
"        35 to 39 years","1,895,847","±17,656","56,816","±2,197","32,733","±1,594","2,888","±462"
"        40 to 44 years","1,464,916","±14,350","43,581","±1,935","25,648","±1,502","1,927","±364"
