"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA-AL Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"Label (Grouping)","Albany, GA Metro Area!!Estimate","Albany, GA Metro Area!!Margin of Error","Americus, GA Micro Area!!Estimate","Americus, GA Micro Area!!Margin of Error","Athens-Clarke County, GA Metro Area!!Estimate","Athens-Clarke County, GA Metro Area!!Margin of Error","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Margin of Error","Augusta-Richmond County, GA-SC Metro Area!!Estimate","Augusta-Richmond County, GA-SC Metro Area!!Margin of Error","Bainbridge, GA Micro Area!!Estimate","Bainbridge, GA Micro Area!!Margin of Error","Brunswick, GA Metro Area!!Estimate","Brunswick, GA Metro Area!!Margin of Error","Calhoun, GA Micro Area!!Estimate","Calhoun, GA Micro Area!!Margin of Error","Cedartown, GA Micro Area!!Estimate","Cedartown, GA Micro Area!!Margin of Error","Chattanooga, TN-GA Metro Area!!Estimate","Chattanooga, TN-GA Metro Area!!Margin of Error","Columbus, GA-AL Metro Area!!Estimate","Columbus, GA-AL Metro Area!!Margin of Error","Cordele, GA Micro Area!!Estimate","Cordele, GA Micro Area!!Margin of Error","Cornelia, GA Micro Area!!Estimate","Cornelia, GA Micro Area!!Margin of Error","Dalton, GA Metro Area!!Estimate","Dalton, GA Metro Area!!Margin of Error","Douglas, GA Micro Area!!Estimate","Douglas, GA Micro Area!!Margin of Error","Dublin, GA Micro Area!!Estimate","Dublin, GA Micro Area!!Margin of Error","Eufaula, AL-GA Micro Area!!Estimate","Eufaula, AL-GA Micro Area!!Margin of Error","Fitzgerald, GA Micro Area!!Estimate","Fitzgerald, GA Micro Area!!Margin of Error","Gainesville, GA Metro Area!!Estimate","Gainesville, GA Metro Area!!Margin of Error","Hinesville, GA Metro Area!!Estimate","Hinesville, GA Metro Area!!Margin of Error","Jefferson, GA Micro Area!!Estimate","Jefferson, GA Micro Area!!Margin of Error","Jesup, GA Micro Area!!Estimate","Jesup, GA Micro Area!!Margin of Error","LaGrange, GA-AL Micro Area!!Estimate","LaGrange, GA-AL Micro Area!!Margin of Error","Macon-Bibb County, GA Metro Area!!Estimate","Macon-Bibb County, GA Metro Area!!Margin of Error","Milledgeville, GA Micro Area!!Estimate","Milledgeville, GA Micro Area!!Margin of Error","Moultrie, GA Micro Area!!Estimate","Moultrie, GA Micro Area!!Margin of Error","Rome, GA Metro Area!!Estimate","Rome, GA Metro Area!!Margin of Error","St. Marys, GA Micro Area!!Estimate","St. Marys, GA Micro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error","Statesboro, GA Micro Area!!Estimate","Statesboro, GA Micro Area!!Margin of Error","Summerville, GA Micro Area!!Estimate","Summerville, GA Micro Area!!Margin of Error","Thomaston, GA Micro Area!!Estimate","Thomaston, GA Micro Area!!Margin of Error","Thomasville, GA Micro Area!!Estimate","Thomasville, GA Micro Area!!Margin of Error","Tifton, GA Micro Area!!Estimate","Tifton, GA Micro Area!!Margin of Error","Toccoa, GA Micro Area!!Estimate","Toccoa, GA Micro Area!!Margin of Error","Valdosta, GA Metro Area!!Estimate","Valdosta, GA Metro Area!!Margin of Error","Vidalia, GA Micro Area!!Estimate","Vidalia, GA Micro Area!!Margin of Error","Warner Robins, GA Metro Area!!Estimate","Warner Robins, GA Metro Area!!Margin of Error","Waycross, GA Micro Area!!Estimate","Waycross, GA Micro Area!!Margin of Error","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error"
"Total:","146,258","±372","34,884","±134","205,961","±298","5,793,481","±2,187","591,539","±703","26,398","±122","115,991","±295","56,587","±174","41,307","±214","550,144","±540","315,132","±444","22,518","±102","44,215","±101","141,870","±355","50,711","±181","63,081","±174","27,287","±202","16,833","±89","196,406","±355","78,488","±288","67,201","±147","29,313","±194","102,309","±301","226,586","±389","53,117","±179","44,805","±202","96,396","±256","52,440","±193","380,861","±658","75,404","±176","24,567","±96","26,094","±93","43,946","±190","39,817","±186","25,343","±157","143,672","±281","35,587","±117","177,857","±494","54,160","±187","320,984,519","±12,103","10,277,909","±2,790"
"    1 to 4 years","7,366","±377","1,788","±198","8,806","±304","304,132","±2,210","29,444","±775","1,506","±122","5,111","±305","2,725","±161","2,252","±240","25,622","±618","17,517","±457","1,250","±151","2,195","±109","7,360","±342","2,914","±183","3,270","±232","1,149","±76","895","±107","10,840","±365","6,110","±300","3,765","±161","1,504","±243","5,335","±317","11,499","±404","2,039","±266","2,438","±200","4,895","±264","3,029","±182","20,192","±672","3,608","±190","1,191","±111","1,626","±228","2,132","±195","2,102","±189","1,290","±158","8,424","±318","1,965","±122","8,980","±476","2,820","±188","16,054,394","±12,007","530,739","±2,907"
"    5 to 17 years","26,562","±106","5,974","±135","30,820","±178","1,075,323","±514","101,978","±303","4,734","*****","19,027","±156","10,754","±77","7,984","±67","86,254","±286","54,258","±337","4,071","±105","7,412","±81","27,811","±64","9,319","±60","10,971","±245","4,249","±84","3,179","±59","37,825","±64","14,892","±191","12,810","±66","5,386","±115","17,720","±111","39,738","±223","7,141","±186","8,792","±77","16,812","±137","8,997","±102","63,707","±131","10,892","±93","4,149","±98","4,340","±151","7,833","±26","7,251","±31","4,062","±132","24,568","±368","6,628","±52","33,363","±151","9,710","±183","53,661,722","±6,266","1,848,563","±1,131"
"    18 and 19 years","4,538","±213","1,292","±284","12,973","±505","154,043","±686","15,760","±491","718","±210","2,529","±210","1,432","±221","1,036","±162","13,786","±271","8,992","±391","869","±235","1,307","±159","3,640","±145","1,602","±216","1,626","±163","517","±38","547","±203","4,922","±136","2,247","±318","1,471","±228","787","±167","2,541","±170","6,474","±325","3,302","±253","1,096","±176","3,291","±172","1,730","±182","11,448","±297","6,673","±319","551","±51","633","±132","989","±51","1,605","±260","755","±60","5,626","±265","1,104","±209","5,076","±315","1,150","±184","8,631,219","±8,338","294,940","±1,854"
"    20 to 24 years","10,698","±271","3,403","±320","26,858","±495","381,717","±1,003","39,952","±642","1,696","±219","6,367","±289","3,517","±212","2,536","±226","33,911","±369","23,627","±338","1,187","±186","3,017","±197","9,430","±164","3,459","±228","3,798","±206","1,653","±64","1,051","±206","13,131","±155","8,023","±348","3,298","±204","1,610","±150","7,204","±218","15,360","±381","5,875","±280","2,991","±230","6,582","±189","5,055","±228","28,392","±295","11,674","±320","1,569","±94","1,566","±156","2,600","±70","3,069","±262","1,809","±101","16,240","±326","2,308","±298","12,295","±338","3,040","±211","22,015,108","±8,084","715,388","±2,238"
"    25 to 29 years","10,270","±279","2,223","±140","15,935","±181","422,323","±744","44,063","±392","1,774","±59","7,377","±245","3,547","±141","2,691","±228","39,226","±264","26,125","±330","1,200","±165","2,806","±97","10,106","±250","3,788","±141","4,068","±226","1,944","±88","773","±136","13,423","±83","8,722","±264","4,519","±247","1,919","±213","7,204","±161","15,551","±313","3,718","±193","2,889","±117","6,598","±95","4,756","±215","31,827","±261","5,796","±119","1,766","±112","1,603","±198","2,719","±73","2,626","±101","1,582","±124","11,676","±273","2,192","±223","13,062","±156","3,877","±273","23,069,320","±7,490","743,604","±1,545"
"    30 to 34 years","9,227","±335","2,016","±179","13,624","±272","406,705","±797","40,465","±416","1,621","±81","6,641","±156","3,571","±199","2,739","±212","35,864","±310","23,208","±345","1,365","±110","2,433","±100","8,990","±224","3,166","±134","3,479","±177","2,071","±122","935","±160","12,395","±109","6,241","±212","4,386","±131","1,796","±169","6,357","±185","13,828","±305","2,901","±104","2,869","±127","5,756","±41","3,742","±134","29,180","±235","4,777","±132","1,314","±73","1,242","±116","2,754","±143","2,459","±123","1,421","±138","9,980","±319","2,297","±350","12,860","±236","3,194","±92","21,961,095","±5,749","697,170","±1,904"
"    35 to 39 years","9,328","±578","1,822","±258","12,582","±649","416,687","±3,974","38,140","±1,284","1,595","±232","6,333","±585","4,173","±468","2,476","±382","34,551","±1,214","20,911","±894","1,460","±275","2,849","±294","9,183","±674","3,128","±373","4,093","±421","1,653","±178","954","±211","12,418","±742","5,038","±365","4,690","±421","1,691","±290","6,872","±439","13,655","±657","3,292","±325","3,324","±371","5,644","±451","3,387","±308","26,317","±1,105","4,482","±447","1,810","±236","1,384","±201","2,395","±342","2,446","±327","1,028","±186","8,241","±604","2,107","±302","12,527","±846","3,405","±339","21,071,305","±25,436","698,081","±5,612"
"    40 to 44 years","8,588","±573","2,088","±298","12,449","±668","404,709","±4,026","35,400","±1,297","1,584","±212","7,184","±565","3,116","±482","2,600","±340","34,428","±1,184","18,717","±858","1,172","±226","2,597","±331","9,200","±654","3,665","±373","3,986","±381","1,577","±174","1,062","±222","12,728","±732","4,474","±309","4,628","±353","2,209","±233","5,498","±426","13,170","±609","2,352","±366","2,509","±382","6,100","±455","2,597","±310","23,667","±1,091","3,561","±404","1,445","±210","1,717","±241","2,747","±330","2,782","±377","1,482","±184","8,413","±653","2,179","±321","10,854","±850","3,318","±326","19,907,526","±25,995","676,053","±5,493"
