County,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Georgia,0.00941299759920744,0.010195203205343395,0.0072713099707377715,0.009584594077223674,0.011135610002537932,0.01228367513136397,0.01053398758027635,0.00982602432497326,0.010326740459925876,0.009200208505441232,0.006877435715750835
Appling County,0.006653214811583208,-0.004171406901782304,-0.0008160156675007801,0.005553438231611141,-0.0026530943743570123,0.0012486427795874722,0.00021688445480672058,0.0049330514446792595,-0.008037544503182614,0.0021208331067485986,0.0032559149120903186
Atkinson County,-0.0004782972617481951,-0.01256131116162218,0.0010903804216138013,-0.006293113881156942,0.01461454146876151,-0.004561277157604127,-0.004341010490775399,0.010536514472568648,-0.008988494726749785,0.0038698754383843514,0.010842067220816709
Bacon County,0.007955161815223377,0.0001793721973093465,0.0019727403156384327,0.00035797386790759056,0.004204687779566951,0.003830734966592475,-0.005679801206957769,-0.009639414494823306,0.00018024513338144033,0.002252658136601138,-0.003955767328957971
Baker County,-0.03497522588166713,0.017819389912413275,-0.0071216617210682065,-0.01763299462044232,-0.028901734104046284,-0.002192982456140302,-0.008477237048665653,-0.02184927169094364,-0.013596633214632559,-0.06662290777814239,-0.008790436005625901
Baldwin County,-0.011487210905192224,0.029748992872637103,-0.007114913374317577,-0.005866943776926203,-0.0077090592334494445,-0.006715533511828964,-0.005899248784798972,0.00017780543640122382,0.00011110864203023318,-0.027396347153712863,0.00018276106275560977
Banks County,-0.008639426211693113,-0.006412715812551428,0.004854368932038833,0.00021958717610881529,0.008507135016465384,-0.004517006802721046,0.017220642904001826,0.016714139839845155,0.013584945554498296,-0.0576792698826597,0.027284299075765128
Barrow County,0.0023683077364720084,0.004195603923534019,0.015756901665525902,0.02260188395827778,0.029323339236440038,0.028394617159471336,0.025652331794366434,0.02552917077611716,0.030528327476727624,0.004570416721503712,0.03209747150530595
Bartow County,0.0006897172159414655,0.0013085605833582648,0.0068036033160083775,0.003250002477136027,0.00801967387976421,0.01327611377286586,0.0171343479858439,0.01233957600532376,0.01191683569979718,0.014421336896906833,0.014015057953911336
Ben Hill County,-0.003059663437021909,0.0007388462631430226,-0.008348477964561618,5.727048851733585e-05,-0.005383117626846845,-0.005815292491939239,-0.012046099496148766,-0.015534322058737282,-0.004942241276646442,0.0264496439471007,0.0002914941992653297
Berrien County,0.0009813542688910104,-0.011351909184726505,-0.0052713987473903545,-0.012907287895482455,0.009355233083506054,-0.0011059034177681726,0.005430198228595584,0.007131246395050139,0.008850939761545273,-0.0628580275584456,-0.0006608293408226773
Bibb County,0.0026879995894224518,0.0025848224853963764,-0.009974409863370393,-0.004454098931274131,-0.0024539162301631112,-0.005555988264921985,-0.001905855938177159,0.0009743656814020785,0.0007970261777368037,0.02554327604102058,-0.002176901924839547
Bleckley County,0.003376045423156615,-0.014452856159669625,-0.011328367473618872,-0.0028253021503689135,0.00031481189988991076,0.01243115656963023,-0.007693503263910495,0.00501213877359219,0.007013169173225364,-0.02677396889267203,0.002385306511886842
Brantley County,0.004712382190445341,-0.0014556040756914523,-0.014523269625310475,0.006300334191639667,0.004083188153310102,-0.0009759800466301316,0.022957937584803245,0.009178692699490565,0.00541506755691068,-0.05668270236352224,0.0033813747228381708
Brooks County,-0.016250153884032947,-0.022900763358778664,0.002049180327868827,-0.007924335378323155,0.009533625354290143,0.003828483920367498,-0.005784388507500626,-0.00959017965603226,0.0017429475179135956,0.0460110839025647,0.002341054706752166
Bryan County,0.029469806604394133,0.03172523961661344,0.024432539559656963,0.019466779517562482,0.033623910336239016,0.030292598967297746,0.032715224412518173,0.028578361327545876,0.04039212602553022,0.13370452484127782,0.04308984644103209
Bulloch County,0.02950680272108852,0.006497618457641519,-0.017561616106354427,0.011652512877627696,0.006467860239173229,0.0208239331665232,0.018564157514063817,0.016910817136996048,0.03085398024103858,0.020823402493790555,0.013074786797414584
Burke County,0.007282697168315977,-0.0195211159783949,-0.009629565368265758,-0.008891030133146516,0.0006628662335941282,-0.00026497085320609237,-0.003754748652707862,-0.0023056799538864192,-0.00017776987689432922,0.09441258834511279,-0.012631493440558916
Butts County,-0.007276244952893696,-0.007287209253061033,-0.009175878110195934,0.005211922811853897,0.007670223250632047,0.0094403810171797,0.013733254697110064,0.004488031914893664,0.030820784378619903,0.025083276477906757,0.009357137264113913
Calhoun County,-0.01075108257428703,-0.008603773584905605,0.00456760048721061,-0.012882691724765083,0.003531398740979519,-0.027080783353733207,0.005346752634062035,-0.008290317534803693,-0.02460567823343851,-0.10090556274256146,-0.009172661870503585
Camden County,-0.006629834254143652,0.02101541395201023,0.0014785416909848248,0.010140254089125555,0.010557692307692212,0.0010085824658889742,0.011577506558686057,0.011369829546522325,0.01798721569793371,0.0023181950934578754,0.01371309937899512
Candler County,0.016889131026968096,-0.009733011876060349,-0.012623985572587926,-0.008858447488584442,0.001013544642034514,-0.002485272459499255,-0.012826427978222754,0.01074967283604411,0.0020345879959309254,0.01532071988924777,0.003272429779110908
Carroll County,0.0007048935881794893,0.006276358447797836,0.00773593710736975,0.014961261020571825,0.004659120821268736,0.014663627391900524,0.010819418144258908,0.005594488960038113,0.017113485867190636,-0.005428131374099809,0.020968835539037167
Catoosa County,0.010893824231735572,0.0018835590001697877,0.005624643644152716,0.003953538263507861,0.004960620306490027,0.0077307452802963805,0.0033157498116052064,0.012498122277302182,0.0027150529657873346,0.005785307390693273,0.006193362363186905
Charlton County,0.046848249027237276,-0.007582515611061602,-0.018501872659176022,-0.004350148820880695,0.014717154683427935,-0.029309563378153825,-0.005525291828793799,0.003677909069567331,0.03516295025728988,-0.05626270994953675,0.018834796488427674
Chatham County,0.022069308010940647,0.016851637126608088,0.005600141904048339,0.016580870441700535,0.013608549696171313,0.00983793263671262,0.0024770372420472864,0.0,0.0014287143986113637,0.01626203973327356,0.004832080948376394
Chattahoochee County,0.007599463567277587,0.09077196095829643,-0.0017896363784267733,-0.043435742808247135,-0.05648321690236835,-0.09119638826185106,0.013114754098360715,0.034421888790820754,0.041998483124763064,-0.13729414975889365,-0.04577093440202484
