"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"Label (Grouping)","Albany, GA Metro Area!!Estimate","Albany, GA Metro Area!!Margin of Error","Americus, GA Micro Area!!Estimate","Americus, GA Micro Area!!Margin of Error","Athens-Clarke County, GA Metro Area!!Estimate","Athens-Clarke County, GA Metro Area!!Margin of Error","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Margin of Error","Augusta-Richmond County, GA-SC Metro Area!!Estimate","Augusta-Richmond County, GA-SC Metro Area!!Margin of Error","Bainbridge, GA Micro Area!!Estimate","Bainbridge, GA Micro Area!!Margin of Error","Brunswick, GA Metro Area!!Estimate","Brunswick, GA Metro Area!!Margin of Error","Calhoun, GA Micro Area!!Estimate","Calhoun, GA Micro Area!!Margin of Error","Cedartown, GA Micro Area!!Estimate","Cedartown, GA Micro Area!!Margin of Error","Chattanooga, TN-GA Metro Area!!Estimate","Chattanooga, TN-GA Metro Area!!Margin of Error","Columbus, GA-AL Metro Area!!Estimate","Columbus, GA-AL Metro Area!!Margin of Error","Cordele, GA Micro Area!!Estimate","Cordele, GA Micro Area!!Margin of Error","Cornelia, GA Micro Area!!Estimate","Cornelia, GA Micro Area!!Margin of Error","Dalton, GA Metro Area!!Estimate","Dalton, GA Metro Area!!Margin of Error","Douglas, GA Micro Area!!Estimate","Douglas, GA Micro Area!!Margin of Error","Dublin, GA Micro Area!!Estimate","Dublin, GA Micro Area!!Margin of Error","Eufaula, AL-GA Micro Area!!Estimate","Eufaula, AL-GA Micro Area!!Margin of Error","Fitzgerald, GA Micro Area!!Estimate","Fitzgerald, GA Micro Area!!Margin of Error","Gainesville, GA Metro Area!!Estimate","Gainesville, GA Metro Area!!Margin of Error","Hinesville, GA Metro Area!!Estimate","Hinesville, GA Metro Area!!Margin of Error","Jefferson, GA Micro Area!!Estimate","Jefferson, GA Micro Area!!Margin of Error","Jesup, GA Micro Area!!Estimate","Jesup, GA Micro Area!!Margin of Error","LaGrange, GA Micro Area!!Estimate","LaGrange, GA Micro Area!!Margin of Error","Macon-Bibb County, GA Metro Area!!Estimate","Macon-Bibb County, GA Metro Area!!Margin of Error","Milledgeville, GA Micro Area!!Estimate","Milledgeville, GA Micro Area!!Margin of Error","Moultrie, GA Micro Area!!Estimate","Moultrie, GA Micro Area!!Margin of Error","Rome, GA Metro Area!!Estimate","Rome, GA Metro Area!!Margin of Error","St. Marys, GA Micro Area!!Estimate","St. Marys, GA Micro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error","Statesboro, GA Micro Area!!Estimate","Statesboro, GA Micro Area!!Margin of Error","Summerville, GA Micro Area!!Estimate","Summerville, GA Micro Area!!Margin of Error","Thomaston, GA Micro Area!!Estimate","Thomaston, GA Micro Area!!Margin of Error","Thomasville, GA Micro Area!!Estimate","Thomasville, GA Micro Area!!Margin of Error","Tifton, GA Micro Area!!Estimate","Tifton, GA Micro Area!!Margin of Error","Toccoa, GA Micro Area!!Estimate","Toccoa, GA Micro Area!!Margin of Error","Valdosta, GA Metro Area!!Estimate","Valdosta, GA Metro Area!!Margin of Error","Vidalia, GA Micro Area!!Estimate","Vidalia, GA Micro Area!!Margin of Error","Warner Robins, GA Metro Area!!Estimate","Warner Robins, GA Metro Area!!Margin of Error","Waycross, GA Micro Area!!Estimate","Waycross, GA Micro Area!!Margin of Error","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error"
"Total:","151,841","±294","35,350","±142","200,161","±331","5,632,204","±1,904","581,566","±735","26,760","±104","114,411","±325","55,883","±212","40,953","±206","542,300","±425","305,337","±395","22,870","±85","43,394","±122","141,389","±333","42,556","±159","56,451","±151","28,029","±168","17,109","±93","190,469","±294","78,294","±296","63,278","±156","29,493","±161","68,393","±250","226,779","±402","53,684","±145","45,358","±194","95,536","±213","51,385","±197","371,922","±570","72,935","±197","24,660","±87","25,868","±166","44,189","±159","39,660","±201","25,382","±97","142,223","±276","35,677","±135","186,514","±339","54,112","±163","317,248,555","±13,812","10,075,118","±2,765"
"    1 to 4 years","8,273","±296","1,712","±169","8,591","±323","302,968","±1,910","29,492","±732","1,551","±108","5,236","±326","3,033","±212","2,289","±206","25,353","±434","17,463","±411","1,381","±173","2,092","±116","7,623","±364","2,399","±158","2,966","±209","1,212","±86","1,011","±105","10,581","±298","6,041","±304","3,564","±167","1,755","±167","3,553","±253","11,651","±412","1,961","±192","2,771","±189","5,020","±223","3,033","±188","19,656","±586","3,319","±201","1,143","±102","1,254","±182","2,166","±166","1,966","±211","1,199","±173","8,157","±306","2,017","±141","9,867","±380","2,846","±199","16,097,663","±13,825","530,911","±2,730"
"    5 to 17 years","27,915","±154","6,321","±141","29,688","±116","1,064,751","±481","101,793","±262","4,868","±44","19,290","±106","10,705","±29","8,002","±104","86,402","±206","53,593","±200","4,189","±172","7,446","±55","28,221","±96","7,695","±61","10,013","±115","4,363","±89","3,233","±56","37,734","±61","15,179","±80","12,141","±88","5,272","±84","12,890","±83","40,171","±121","7,562","±136","8,916","±96","16,707","±135","9,037","±48","63,129","±105","10,693","±82","4,275","±89","4,251","±72","7,972","±161","7,274","±70","4,320","±176","24,577","±214","6,831","±30","34,529","±311","9,774","±150","53,747,764","±5,382","1,841,775","±966"
"    18 and 19 years","4,686","±210","1,315","±177","12,950","±606","150,504","±919","15,645","±424","696","±197","2,330","±221","1,254","±138","1,131","±158","13,608","±252","8,944","±343","594","±164","1,242","±142","3,560","±108","1,263","±180","1,282","±111","539","±37","608","±170","4,676","±112","1,890","±210","1,382","±159","757","±159","1,947","±92","6,290","±285","2,990","±219","1,305","±190","3,167","±196","1,463","±229","11,460","±312","6,811","±389","516","±54","595","±133","926","±23","1,600","±228","778","±179","5,688","±260","1,017","±223","5,441","±376","1,123","±180","8,629,519","±7,501","288,734","±2,330"
"    20 to 24 years","11,173","±269","3,447","±213","27,168","±633","377,215","±1,086","40,592","±423","1,782","±193","7,013","±276","3,279","±183","2,281","±180","34,925","±295","24,630","±371","1,558","±167","3,116","±219","9,743","±142","3,350","±201","3,597","±140","1,823","±88","845","±180","12,783","±116","8,832","±261","3,223","±180","1,570","±161","5,159","±142","15,835","±390","6,401","±244","2,822","±195","6,949","±269","5,450","±256","29,218","±352","11,615","±386","1,536","±82","1,746","±252","2,674","±131","3,130","±281","1,889","±201","16,841","±286","2,361","±236","13,417","±446","3,186","±217","22,501,965","±7,058","719,872","±2,395"
"    25 to 29 years","10,452","±224","2,191","±149","15,404","±125","397,990","±620","42,983","±396","1,677","±52","6,947","±264","3,854","±142","2,888","±182","37,265","±277","25,798","±374","1,171","±105","2,519","±122","9,646","±204","2,981","±65","3,461","±136","2,004","±83","977","±91","12,886","±86","8,441","±182","4,080","±224","2,012","±146","4,676","±149","15,060","±315","3,537","±183","3,003","±23","6,111","±154","4,602","±146","31,536","±122","5,600","±113","1,740","±135","1,551","±187","2,758","±129","2,719","±92","1,343","±88","11,377","±331","2,136","±222","13,664","±284","3,582","±208","22,406,918","±6,427","712,031","±1,852"
"    30 to 34 years","9,450","±244","2,225","±151","13,233","±175","400,037","±652","39,501","±323","1,744","±62","6,744","±243","3,550","±94","2,558","±239","34,827","±254","22,337","±329","1,519","±226","2,511","±117","9,096","±230","2,890","±109","3,400","±179","1,981","±90","971","±144","12,278","±73","6,440","±259","4,006","±89","2,053","±183","4,416","±145","14,022","±251","3,133","±138","2,955","±2","5,739","±45","3,519","±111","28,176","±247","4,446","±110","1,377","±87","1,302","±151","2,768","±111","2,478","±89","1,342","±96","9,783","±239","2,446","±298","13,502","±255","3,297","±111","21,637,255","±4,761","689,578","±1,524"
"    35 to 39 years","9,262","±495","1,877","±254","12,283","±719","406,578","±4,171","36,245","±1,216","1,430","±198","6,144","±636","4,152","±470","2,317","±426","35,142","±976","19,340","±782","1,274","±212","2,784","±303","8,893","±571","2,607","±374","3,892","±390","1,802","±206","1,095","±225","12,585","±636","4,780","±387","4,199","±399","1,835","±282","4,155","±450","13,423","±543","3,058","±353","2,966","±336","5,428","±398","3,063","±277","24,904","±1,004","3,733","±360","1,516","±237","1,640","±244","2,653","±292","2,312","±361","1,043","±229","8,105","±472","2,078","±310","12,979","±782","3,687","±425","20,389,409","±25,141","681,500","±5,487"
"    40 to 44 years","9,628","±431","1,917","±285","12,199","±697","415,550","±4,221","35,488","±1,226","1,807","±198","7,304","±654","3,391","±438","2,834","±440","34,082","±941","18,993","±823","1,215","±222","2,662","±307","9,913","±575","3,080","±403","3,515","±347","1,607","±202","1,140","±201","12,559","±640","4,526","±432","5,159","±425","2,032","±235","4,278","±423","14,007","±576","2,709","±360","2,951","±338","6,545","±401","2,727","±323","23,349","±960","4,028","±324","1,684","±230","1,573","±232","2,659","±295","2,725","±383","1,640","±260","8,442","±524","2,138","±304","11,186","±790","3,376","±390","20,267,010","±25,573","692,923","±5,170"
