"","United States","","Georgia","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Savannah, GA Metro Area",""
"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error"
"Total:","319,157,088","±16,215","10,171,713","±3,038","5,710,378","±1,995","376,063","±609"
"    1 to 4 years","16,090,908","±17,312","530,039","±3,029","302,962","±2,037","19,626","±633"
"    5 to 17 years","53,716,390","±6,152","1,845,485","±991","1,070,432","±394","63,536","±125"
"    18 and 19 years","8,616,749","±7,455","290,996","±1,603","151,886","±860","11,300","±251"
"    20 to 24 years","22,286,970","±7,276","718,646","±1,809","380,030","±954","28,875","±244"
"    25 to 29 years","22,779,537","±5,420","727,688","±1,587","410,208","±632","31,823","±194"
"    30 to 34 years","21,788,439","±5,382","692,096","±1,527","402,588","±723","28,824","±199"
"    35 to 39 years","20,730,622","±27,746","690,300","±5,401","411,238","±4,180","25,476","±1,131"
"    40 to 44 years","20,032,588","±29,048","682,251","±5,454","409,380","±4,172","23,492","±1,085"
"    45 to 49 years","20,827,879","±5,660","704,947","±1,411","425,827","±707","22,890","±222"
"    50 to 54 years","21,761,694","±5,788","702,308","±1,297","407,635","±632","23,695","±154"
"    55 to 59 years","21,611,374","±21,797","656,064","±4,159","364,141","±3,428","24,221","±836"
"    60 to 64 years","19,675,357","±20,514","578,604","±3,758","308,279","±3,353","20,730","±832"
"    65 to 69 years","16,409,942","±17,738","481,669","±3,473","248,199","±2,359","17,947","±658"
"    70 to 74 years","12,125,477","±18,334","353,555","±3,473","174,619","±2,463","13,378","±660"
"    75 years and over","20,703,162","±3,426","517,065","±828","242,954","±533","20,250","±141"
"    Same house 1 year ago:","273,020,967","±194,275","8,609,080","±16,474","4,846,011","±12,366","296,784","±3,050"
"        1 to 4 years","13,029,501","±27,178","423,068","±3,932","244,895","±3,072","14,449","±806"
"        5 to 17 years","46,912,517","±58,285","1,584,627","±5,880","925,105","±4,608","51,417","±1,127"
"        18 and 19 years","6,269,775","±10,519","213,533","±2,510","119,999","±1,719","6,263","±501"
"        20 to 24 years","15,689,407","±21,236","511,730","±4,003","276,656","±3,173","17,965","±709"
"        25 to 29 years","16,467,403","±19,545","521,185","±4,154","291,212","±3,038","19,922","±780"
"        30 to 34 years","17,235,886","±22,800","539,457","±3,274","311,395","±2,602","21,089","±689"
"        35 to 39 years","17,427,315","±34,388","571,718","±4,797","341,342","±3,677","19,498","±1,075"
"        40 to 44 years","17,499,377","±36,673","593,699","±4,894","356,873","±3,994","19,990","±1,021"
"        45 to 49 years","18,636,152","±18,574","625,305","±2,369","377,509","±1,907","19,075","±578"
"        50 to 54 years","19,769,652","±18,943","630,710","±2,462","366,475","±1,907","20,205","±459"
"        55 to 59 years","19,860,503","±25,500","598,385","±4,023","332,646","±3,293","20,851","±923"
"        60 to 64 years","18,222,983","±20,872","532,579","±4,141","282,525","±3,454","18,487","±869"
"        65 to 69 years","15,361,621","±18,571","449,744","±3,555","232,109","±2,640","16,251","±682"
"        70 to 74 years","11,402,026","±18,814","331,659","±3,386","163,060","±2,252","12,625","±641"
"        75 years and over","19,236,849","±8,166","481,681","±1,551","224,210","±1,258","18,697","±303"
"    Moved within same county:","26,270,869","±142,742","743,676","±10,707","397,521","±7,836","42,776","±2,647"
"        1 to 4 years","1,917,607","±20,142","54,383","±2,309","27,241","±1,498","2,873","±405"
"        5 to 17 years","4,398,335","±45,385","147,064","±4,738","77,482","±3,439","8,252","±1,024"
"        18 and 19 years","852,100","±7,783","25,034","±1,364","13,117","±1,123","1,557","±321"
"        20 to 24 years","3,573,099","±14,531","92,104","±2,729","42,968","±1,625","5,525","±582"
"        25 to 29 years","3,502,859","±16,400","93,842","±2,602","51,829","±1,964","5,952","±649"
"        30 to 34 years","2,585,462","±16,239","71,502","±2,087","40,926","±1,609","3,910","±469"
"        35 to 39 years","1,915,598","±18,173","57,305","±1,962","32,600","±1,623","3,586","±475"
"        40 to 44 years","1,501,885","±15,108","44,710","±1,946","26,094","±1,528","1,909","±317"
"        45 to 49 years","1,299,486","±13,207","37,702","±1,498","22,644","±1,188","2,132","±436"
"        50 to 54 years","1,160,520","±11,393","33,757","±1,585","18,756","±1,292","1,993","±338"
"        55 to 59 years","991,117","±8,697","26,866","±1,476","13,936","±981","2,107","±562"
"        60 to 64 years","785,867","±6,764","20,473","±1,513","10,977","±1,095","1,008","±280"
"        65 to 69 years","534,657","±5,115","13,307","±884","6,334","±681","706","±195"
"        70 to 74 years","381,993","±3,535","9,442","±786","4,785","±615","333","±110"
"        75 years and over","870,284","±5,950","16,185","±885","7,832","±672","933","±240"
"    Moved from different county within same state:","10,334,215","±40,019","483,060","±8,117","274,204","±6,448","16,249","±1,363"
"        1 to 4 years","589,055","±8,569","30,058","±1,768","18,181","±1,416","939","±370"
"        5 to 17 years","1,213,764","±14,387","65,617","±2,921","38,385","±2,356","1,569","±352"
"        18 and 19 years","862,196","±5,694","36,302","±1,483","12,036","±1,107","2,033","±380"
"        20 to 24 years","1,656,032","±12,687","70,058","±2,032","38,146","±1,866","2,448","±426"
"        25 to 29 years","1,477,483","±10,570","67,821","±2,325","41,301","±1,880","2,668","±487"
"        30 to 34 years","1,001,814","±7,269","46,502","±1,923","28,729","±1,744","1,838","±411"
"        35 to 39 years","716,404","±8,230","36,925","±1,622","22,160","±1,337","1,123","±290"
"        40 to 44 years","531,821","±6,478","24,881","±1,403","14,927","±1,156","784","±192"
"        45 to 49 years","473,288","±5,569","25,569","±1,258","15,926","±1,152","754","±242"
"        50 to 54 years","440,668","±4,984","22,780","±1,163","13,371","±977","405","±134"
"        55 to 59 years","385,545","±5,253","18,373","±1,194","9,807","±915","581","±216"
"        60 to 64 years","314,753","±4,810","13,122","±924","7,802","±734","385","±174"
"        65 to 69 years","222,795","±3,526","8,985","±681","4,653","±617","275","±138"
"        70 to 74 years","150,004","±2,597","6,211","±538","3,213","±389","186","±91"
"        75 years and over","298,593","±3,659","9,856","±677","5,567","±627","261","±131"
"    Moved from different state:","7,443,306","±31,684","279,999","±6,970","154,683","±6,071","17,524","±1,587"
"        1 to 4 years","441,675","±6,000","18,790","±1,393","9,920","±1,080","1,169","±315"
"        5 to 17 years","894,550","±10,746","41,133","±2,268","24,273","±1,955","2,130","±447"
"        18 and 19 years","533,331","±5,069","13,833","±836","5,129","±594","1,250","±252"
"        20 to 24 years","1,084,605","±9,232","38,398","±1,657","18,535","±1,187","2,391","±432"
"        25 to 29 years","1,054,688","±8,833","37,030","±1,797","20,468","±1,414","2,890","±559"
"        30 to 34 years","743,561","±6,512","27,735","±1,324","16,948","±1,145","1,626","±321"
"        35 to 39 years","512,960","±6,955","20,144","±1,276","12,246","±1,087","1,101","±329"
"        40 to 44 years","378,238","±5,671","15,600","±1,036","9,160","±904","718","±226"
"        45 to 49 years","323,811","±4,753","14,168","±1,124","8,232","±1,116","853","±265"
"        50 to 54 years","308,862","±4,632","12,480","±843","7,341","±666","970","±278"
"        55 to 59 years","296,572","±4,166","10,378","±779","6,274","±615","643","±262"
"        60 to 64 years","272,076","±3,970","9,724","±726","5,076","±655","656","±232"
"        65 to 69 years","223,015","±3,612","7,760","±607","3,981","±551","576","±227"
"        70 to 74 years","144,723","±2,754","5,173","±631","2,711","±523","215","±80"
"        75 years and over","230,639","±3,293","7,653","±693","4,389","±560","336","±143"
"    Moved from abroad:","2,087,731","±14,087","55,898","±3,265","37,959","±2,720","2,730","±482"
