"","United States","","Georgia","","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","Savannah, GA Metro Area",""
"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error"
"Total:","322,943,283","±14,288","10,394,332","±3,224","5,879,040","±2,524","385,228","±644"
"    1 to 4 years","16,024,167","±14,355","529,838","±3,519","303,336","±2,621","20,286","±669"
"    5 to 17 years","53,646,546","±4,724","1,853,229","±1,227","1,080,478","±553","64,053","±154"
"    18 and 19 years","8,615,358","±7,207","299,626","±2,087","156,273","±840","11,702","±352"
"    20 to 24 years","21,820,378","±8,525","715,214","±2,414","384,826","±1,019","28,044","±383"
"    25 to 29 years","23,262,155","±6,733","754,957","±2,022","432,194","±858","31,646","±317"
"    30 to 34 years","22,223,010","±6,502","708,753","±1,750","414,027","±788","29,743","±472"
"    35 to 39 years","21,346,055","±31,484","707,148","±6,215","422,279","±4,923","26,740","±1,079"
"    40 to 44 years","20,000,622","±32,524","677,066","±5,702","403,850","±4,918","24,392","±1,084"
"    45 to 49 years","20,569,969","±7,531","708,864","±1,856","432,303","±805","22,934","±325"
"    50 to 54 years","20,970,767","±5,588","695,273","±1,338","410,597","±559","23,226","±129"
"    55 to 59 years","21,785,721","±24,028","679,398","±5,550","382,739","±4,043","25,160","±775"
"    60 to 64 years","20,315,718","±24,652","605,605","±5,496","325,650","±4,052","21,182","±774"
"    65 to 69 years","17,301,772","±23,775","509,703","±3,810","265,556","±2,906","19,620","±807"
"    70 to 74 years","13,246,178","±23,607","388,897","±3,944","195,560","±2,895","14,549","±791"
"    75 years and over","21,814,867","±3,739","560,761","±1,010","269,372","±555","21,951","±162"
"    Same house 1 year ago:","278,285,887","±172,568","8,885,185","±14,403","5,033,299","±12,226","312,941","±3,547"
"        1 to 4 years","13,189,942","±26,833","431,685","±3,900","248,351","±3,267","15,286","±815"
"        5 to 17 years","47,252,837","±54,528","1,614,001","±4,724","947,735","±3,975","53,152","±1,085"
"        18 and 19 years","6,339,171","±11,938","228,598","±2,649","127,830","±1,550","7,664","±537"
"        20 to 24 years","15,578,572","±23,327","521,492","±4,137","285,742","±3,066","18,523","±952"
"        25 to 29 years","17,025,837","±18,822","548,018","±4,730","308,459","±3,443","21,924","±784"
"        30 to 34 years","17,753,879","±23,231","559,289","±3,492","325,205","±2,677","21,995","±864"
"        35 to 39 years","18,075,515","±36,246","589,304","±6,185","351,637","±4,526","21,779","±1,121"
"        40 to 44 years","17,552,778","±34,276","590,268","±6,175","353,350","±5,275","20,548","±1,047"
"        45 to 49 years","18,481,231","±19,594","631,200","±2,683","385,086","±2,053","18,921","±682"
"        50 to 54 years","19,097,463","±17,647","626,237","±2,552","368,935","±2,203","20,429","±404"
"        55 to 59 years","20,043,589","±24,716","620,349","±5,178","348,996","±3,826","21,922","±850"
"        60 to 64 years","18,842,064","±26,525","557,771","±5,831","300,043","±4,292","18,917","±800"
"        65 to 69 years","16,222,663","±25,916","476,075","±3,954","247,937","±2,974","17,860","±708"
"        70 to 74 years","12,487,680","±23,474","367,280","±4,091","184,168","±3,075","13,762","±788"
"        75 years and over","20,342,666","±9,590","523,618","±2,031","249,825","±1,433","20,259","±407"
"    Moved within same county:","24,840,584","±123,961","682,303","±10,461","373,491","±8,381","36,254","±2,867"
"        1 to 4 years","1,734,833","±20,392","48,107","±1,983","24,866","±1,613","2,641","±468"
"        5 to 17 years","4,039,191","±40,942","126,004","±4,153","65,268","±3,111","6,729","±958"
"        18 and 19 years","791,548","±7,538","21,613","±1,287","11,258","±994","1,097","±288"
"        20 to 24 years","3,285,259","±15,812","80,463","±2,581","39,069","±2,187","4,079","±631"
"        25 to 29 years","3,395,153","±14,774","90,660","±3,518","51,966","±2,563","5,018","±624"
"        30 to 34 years","2,502,779","±19,463","67,622","±2,498","39,137","±1,903","3,706","±548"
"        35 to 39 years","1,848,404","±17,372","54,978","±2,388","32,199","±2,100","2,507","±576"
