"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA-AL Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"Label (Grouping)","Albany, GA Metro Area!!Estimate","Albany, GA Metro Area!!Margin of Error","Americus, GA Micro Area!!Estimate","Americus, GA Micro Area!!Margin of Error","Athens-Clarke County, GA Metro Area!!Estimate","Athens-Clarke County, GA Metro Area!!Margin of Error","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Margin of Error","Augusta-Richmond County, GA-SC Metro Area!!Estimate","Augusta-Richmond County, GA-SC Metro Area!!Margin of Error","Bainbridge, GA Micro Area!!Estimate","Bainbridge, GA Micro Area!!Margin of Error","Brunswick, GA Metro Area!!Estimate","Brunswick, GA Metro Area!!Margin of Error","Calhoun, GA Micro Area!!Estimate","Calhoun, GA Micro Area!!Margin of Error","Cedartown, GA Micro Area!!Estimate","Cedartown, GA Micro Area!!Margin of Error","Chattanooga, TN-GA Metro Area!!Estimate","Chattanooga, TN-GA Metro Area!!Margin of Error","Columbus, GA-AL Metro Area!!Estimate","Columbus, GA-AL Metro Area!!Margin of Error","Cordele, GA Micro Area!!Estimate","Cordele, GA Micro Area!!Margin of Error","Cornelia, GA Micro Area!!Estimate","Cornelia, GA Micro Area!!Margin of Error","Dalton, GA Metro Area!!Estimate","Dalton, GA Metro Area!!Margin of Error","Douglas, GA Micro Area!!Estimate","Douglas, GA Micro Area!!Margin of Error","Dublin, GA Micro Area!!Estimate","Dublin, GA Micro Area!!Margin of Error","Eufaula, AL-GA Micro Area!!Estimate","Eufaula, AL-GA Micro Area!!Margin of Error","Fitzgerald, GA Micro Area!!Estimate","Fitzgerald, GA Micro Area!!Margin of Error","Gainesville, GA Metro Area!!Estimate","Gainesville, GA Metro Area!!Margin of Error","Hinesville, GA Metro Area!!Estimate","Hinesville, GA Metro Area!!Margin of Error","Jefferson, GA Micro Area!!Estimate","Jefferson, GA Micro Area!!Margin of Error","Jesup, GA Micro Area!!Estimate","Jesup, GA Micro Area!!Margin of Error","LaGrange, GA-AL Micro Area!!Estimate","LaGrange, GA-AL Micro Area!!Margin of Error","Macon-Bibb County, GA Metro Area!!Estimate","Macon-Bibb County, GA Metro Area!!Margin of Error","Milledgeville, GA Micro Area!!Estimate","Milledgeville, GA Micro Area!!Margin of Error","Moultrie, GA Micro Area!!Estimate","Moultrie, GA Micro Area!!Margin of Error","Rome, GA Metro Area!!Estimate","Rome, GA Metro Area!!Margin of Error","St. Marys, GA Micro Area!!Estimate","St. Marys, GA Micro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error","Statesboro, GA Micro Area!!Estimate","Statesboro, GA Micro Area!!Margin of Error","Summerville, GA Micro Area!!Estimate","Summerville, GA Micro Area!!Margin of Error","Thomaston, GA Micro Area!!Estimate","Thomaston, GA Micro Area!!Margin of Error","Thomasville, GA Micro Area!!Estimate","Thomasville, GA Micro Area!!Margin of Error","Tifton, GA Micro Area!!Estimate","Tifton, GA Micro Area!!Margin of Error","Toccoa, GA Micro Area!!Estimate","Toccoa, GA Micro Area!!Margin of Error","Valdosta, GA Metro Area!!Estimate","Valdosta, GA Metro Area!!Margin of Error","Vidalia, GA Micro Area!!Estimate","Vidalia, GA Micro Area!!Margin of Error","Warner Robins, GA Metro Area!!Estimate","Warner Robins, GA Metro Area!!Margin of Error","Waycross, GA Micro Area!!Estimate","Waycross, GA Micro Area!!Margin of Error","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error"
"Total:","145,474","±370","34,446","±154","208,120","±427","5,879,040","±2,524","597,212","±889","26,280","±110","116,802","±402","57,250","±178","41,735","±229","554,880","±698","316,077","±400","22,331","±168","44,785","±115","142,048","±278","50,953","±179","63,217","±166","27,082","±281","16,738","±133","199,396","±293","79,717","±246","69,712","±212","29,548","±235","102,491","±235","226,669","±447","52,985","±221","44,813","±229","96,883","±225","53,153","±209","385,228","±644","76,839","±229","24,601","±102","26,240","±61","43,887","±194","39,776","±237","25,539","±189","144,916","±280","35,586","±140","180,492","±425","54,323","±181","322,943,283","±14,288","10,394,332","±3,224"
"    1 to 4 years","7,460","±378","1,615","±190","8,427","±456","303,336","±2,621","29,751","±874","1,475","±111","5,037","±395","2,916","±184","2,319","±231","25,730","±741","17,959","±441","1,219","±192","2,318","±101","7,411","±285","3,097","±177","3,394","±217","1,201","±116","868","±146","11,016","±294","6,164","±320","3,793","±212","1,477","±276","5,457","±246","11,182","±483","1,954","±278","2,371","±225","4,930","±240","3,049","±211","20,286","±669","3,571","±249","1,243","±117","1,563","±76","2,129","±194","1,988","±233","1,289","±175","8,309","±344","1,910","±142","9,432","±419","2,807","±176","16,024,167","±14,355","529,838","±3,519"
"    5 to 17 years","26,088","±143","5,813","±205","31,299","±234","1,080,478","±553","101,895","±286","4,658","±4","19,017","±185","10,630","±108","7,941","±62","86,352","±331","54,131","±213","4,002","±94","7,447","±43","27,549","±77","9,246","±80","11,054","±267","4,083","±89","3,177","±46","37,814","±31","15,049","±209","13,304","±43","5,444","±106","17,681","±136","39,674","±238","6,834","±339","8,693","±44","16,729","±109","9,227","±58","64,053","±154","10,983","±70","4,138","±108","4,271","±82","7,805","±39","7,234","±41","3,926","±8","24,824","±175","6,584","±37","33,606","±105","9,856","±179","53,646,546","±4,724","1,853,229","±1,227"
"    18 and 19 years","4,647","±283","1,399","±300","12,937","±654","156,273","±840","15,781","±496","781","±245","2,546","±213","1,414","±243","971","±135","14,195","±306","9,162","±439","864","±216","1,417","±164","3,748","±140","1,751","±179","1,559","±176","492","±43","461","±173","5,062","±145","2,474","±361","1,544","±166","845","±168","2,458","±114","6,412","±334","3,264","±278","1,193","±205","3,287","±203","1,595","±173","11,702","±352","6,937","±360","545","±130","512","±145","792","±124","1,944","±291","865","±137","5,642","±240","1,117","±201","5,271","±390","1,525","±318","8,615,358","±7,207","299,626","±2,087"
"    20 to 24 years","10,460","±317","3,275","±318","26,801","±622","384,826","±1,019","39,877","±580","1,638","±261","6,280","±271","3,577","±228","2,621","±202","33,397","±360","22,832","±466","1,206","±195","3,201","±206","9,388","±216","3,185","±181","3,802","±226","1,737","±185","885","±187","13,358","±175","7,826","±222","3,429","±200","1,620","±144","6,968","±152","15,342","±315","5,957","±288","2,773","±219","6,597","±237","4,697","±248","28,044","±383","11,560","±358","1,543","±141","1,528","±200","2,689","±150","2,667","±303","1,839","±179","16,488","±449","2,418","±235","12,327","±437","2,709","±266","21,820,378","±8,525","715,214","±2,414"
"    25 to 29 years","10,093","±288","2,235","±162","16,029","±169","432,194","±858","44,181","±482","1,740","±209","7,478","±242","3,572","±117","2,708","±209","39,933","±385","26,093","±415","1,131","±112","2,677","±109","9,850","±169","3,889","±136","4,032","±204","1,968","±118","1,012","±157","13,475","±136","9,329","±323","4,555","±234","1,929","±250","7,361","±179","15,729","±324","3,670","±236","3,000","±20","6,615","±119","4,773","±223","31,646","±317","5,818","±126","1,645","±107","1,876","±192","2,770","±108","2,660","±125","1,581","±120","11,633","±303","2,155","±213","12,953","±244","3,875","±261","23,262,155","±6,733","754,957","±2,022"
"    30 to 34 years","9,344","±380","2,059","±233","13,381","±234","414,027","±788","41,123","±410","1,644","±105","6,587","±225","3,620","±281","2,893","±310","36,915","±351","23,151","±379","1,315","±106","2,595","±115","8,940","±219","2,989","±317","3,533","±145","1,966","±122","811","±141","12,579","±107","6,240","±143","4,869","±215","1,746","±176","6,513","±137","14,066","±376","2,889","±126","2,885","±77","5,847","±44","3,863","±130","29,743","±472","5,117","±123","1,386","±80","1,385","±109","2,757","±172","2,496","±149","1,420","±197","9,891","±323","2,059","±263","13,189","±255","3,368","±178","22,223,010","±6,502","708,753","±1,750"
"    35 to 39 years","9,483","±620","1,751","±291","13,558","±835","422,279","±4,923","39,102","±1,568","1,759","±243","6,829","±615","4,278","±589","2,601","±443","34,471","±1,414","21,712","±897","1,278","±302","2,936","±312","8,985","±673","3,004","±368","3,963","±428","1,712","±216","1,155","±222","12,273","±715","5,095","±459","4,676","±398","2,148","±316","6,687","±568","13,911","±808","3,276","±301","3,212","±365","5,709","±473","3,654","±380","26,740","±1,079","4,667","±516","1,701","±234","1,304","±289","2,941","±386","2,414","±335","1,266","±218","8,083","±666","2,099","±289","12,348","±1,023","3,260","±354","21,346,055","±31,484","707,148","±6,215"
"    40 to 44 years","8,027","±611","1,870","±289","11,781","±800","403,850","±4,918","35,076","±1,503","1,751","±307","6,866","±555","3,340","±548","2,750","±492","34,692","±1,459","17,956","±996","1,454","±334","2,460","±327","9,210","±640","4,083","±404","4,166","±372","1,465","±210","945","±209","12,902","±706","4,512","±466","5,107","±376","2,048","±279","5,593","±577","12,581","±807","2,380","±328","2,797","±372","6,063","±469","2,699","±375","24,392","±1,084","3,732","±469","1,489","±227","1,908","±266","2,190","±380","2,819","±332","1,434","±270","9,014","±664","2,288","±324","11,428","±1,009","3,467","±394","20,000,622","±32,524","677,066","±5,702"
"    45 to 49 years","8,721","±278","2,078","±148","12,207","±255","432,303","±805","36,196","±485","1,358","±68","7,551","±245","4,143","±264","2,677","±209","36,253","±308","18,931","±294","1,081","±193","2,972","±135","9,872","±237","3,370","±210","3,940","±201","1,613","±60","999","±191","13,696","±104","3,768","±284","4,907","±310","2,065","±127","6,466","±133","13,980","±317","3,084","±161","2,583","±107","6,059","±161","2,903","±110","22,934","±325","3,990","±128","1,572","±81","1,544","±153","2,780","±80","2,383","±148","1,718","±151","7,791","±274","2,212","±227","11,279","±226","3,492","±168","20,569,969","±7,531","708,864","±1,856"
