,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,BIRTHS2020,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,DEATHS2020,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,NATURALINC2020,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,INTERNATIONALMIG2020,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,DOMESTICMIG2020,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,NETMIG2020,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RESIDUAL2020,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,GQESTIMATES2019,GQESTIMATES2020,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RBIRTH2020,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RDEATH2020,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RNATURALINC2020,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RINTERNATIONALMIG2020,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RDOMESTICMIG2020,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019,RNETMIG2020
398,40,3,5,13,0,Georgia,Georgia,9687653,9688737,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10710017,23472,91421,99950,72012,95612,112149,125089,108589,102358,108631,81997,32490,132638,131860,128689,129543,131678,131395,129077,128171,125873,125818,17216,71163,70456,74852,74843,78566,80067,82135,84768,85998,94638,15274,61475,61404,53837,54700,53112,51328,46942,43403,39875,31180,4369,12560,22454,23207,17777,26234,35276,21846,17766,16252,13275,3034,17118,14974,-5842,22919,32650,38504,39798,41256,52508,37563,7403,29678,37428,17365,40696,58884,73780,61644,59022,68760,50838,795,268,1118,810,216,153,-19,3,-67,-4,-21,254026,257407,260196,265392,260973,262010,259241,256193,259020,262019,268201,268022,13.59285655,13.38190439,12.94711872,12.92406028,13.00230857,12.82415718,12.45587978,12.24383156,11.90434251,11.79283736,7.29284557,7.150276472,7.530695947,7.466829113,7.757859133,7.814542357,7.925995223,8.097659485,8.133194946,8.870356725,6.300010981,6.231627917,5.416422777,5.457231171,5.244449434,5.009614824,4.529884553,4.146172077,3.771147567,2.922480639,1.287159625,2.278759906,2.334805494,1.773550247,2.590429403,3.442938991,2.108130415,1.697138288,1.537020445,1.244256911,1.754267393,1.51964687,-0.587750838,2.286549931,3.223965846,3.757991918,3.840491361,3.941074931,4.965903861,3.520754979,3.041427017,3.798406776,1.747054656,4.060100178,5.814395249,7.200930909,5.948621776,5.638213219,6.502924306,4.765011889
399,50,3,5,13,1,Georgia,Appling County,18236,18237,18337,18459,18382,18367,18469,18420,18443,18447,18538,18389,18325,100,122,-77,-15,102,-49,23,4,91,-149,-64,63,260,275,262,254,258,263,223,230,225,213,28,194,174,188,203,218,225,187,214,219,224,35,66,101,74,51,40,38,36,16,6,-11,-3,-16,-7,-7,-8,7,14,8,7,6,3,60,73,-177,-82,62,-93,-29,-38,69,-160,-57,57,57,-184,-89,54,-86,-15,-30,76,-154,-54,8,-1,6,0,-3,-3,0,-2,-1,-1,1,426,488,586,448,366,393,411,405,399,416,418,416,14.13197087,14.9290193,14.2588914,13.79085677,13.98790968,14.26905027,12.08999729,12.43747465,12.18620522,11.60320314,10.54462442,9.445997666,10.23157093,11.02182647,11.81924151,12.2073624,10.13824885,11.57225902,11.86123974,12.20242959,3.587346451,5.483021634,4.027320471,2.769030296,2.168668167,2.061687871,1.951748441,0.865215628,0.324965472,-0.599226453,-0.869659746,-0.3800114,-0.380962747,-0.434357694,0.379516929,0.759569216,0.433721876,0.378531837,0.324965472,0.163425396,3.967822589,-9.608859694,-4.462706468,3.366272125,-5.042153487,-1.573393375,-2.06017891,3.731242396,-8.665745931,-3.10508253,3.098162844,-9.988871095,-4.843669215,2.931914432,-4.662636558,-0.81382416,-1.626457034,4.109774233,-8.340780459,-2.941657134
400,50,3,5,13,3,Georgia,Atkinson County,8375,8380,8363,8359,8254,8263,8211,8331,8293,8257,8344,8269,8393,-17,-4,-105,9,-52,120,-38,-36,87,-75,124,25,138,124,123,138,118,140,115,111,126,134,7,65,81,79,75,64,85,92,79,62,81,18,73,43,44,63,54,55,23,32,64,53,0,-1,0,4,1,4,58,38,33,30,26,-37,-77,-151,-38,-117,60,-151,-96,21,-168,44,-37,-78,-151,-34,-116,64,-93,-58,54,-138,70,2,1,3,-1,1,2,0,-1,1,-1,1,20,21,21,22,22,25,20,21,21,20,21,21,16.50520273,14.92806838,14.89374584,16.75367245,14.26671503,16.84311838,13.89728097,13.37268839,15.16884368,16.08450366,7.77418969,9.751399506,9.565901798,9.105256768,7.737879337,10.22617902,11.11782477,9.517498946,7.46403419,9.722722362,8.731013037,5.176668874,5.32784404,7.648415685,6.528835691,6.616939365,2.779456193,3.855189446,7.704809487,6.361781299,-0.119602918,0.0,0.484349458,0.121403424,0.483617459,6.97786333,4.592145015,3.975664117,3.611629447,3.120873845,-9.20942471,-18.17853488,-4.601319852,-14.20420056,7.254261879,-18.16650626,-11.60120846,2.529968074,-20.2251249,5.281478814,-9.329027628,-18.17853488,-4.116970394,-14.08279713,7.737879337,-11.18864293,-7.009063444,6.505632191,-16.61349546,8.402352659
401,50,3,5,13,5,Georgia,Bacon County,11096,11097,11062,11150,11152,11174,11178,11225,11268,11204,11096,11098,11036,-35,88,2,22,4,47,43,-64,-108,2,-62,37,137,169,140,131,165,150,168,162,141,136,58,136,113,117,133,127,133,133,153,113,113,-21,1,56,23,-2,38,17,35,9,28,23,0,-2,2,8,3,-6,-4,-4,-4,-5,-4,-13,89,-58,-7,5,18,31,-98,-111,-21,-80,-13,87,-56,1,8,12,27,-102,-115,-26,-84,-1,0,2,-2,-2,-3,-1,3,-2,0,-1,325,339,363,339,325,306,325,325,325,323,297,297,12.33567441,15.15559143,12.54143152,11.72154617,14.73017007,13.33748277,14.95194019,14.52914798,12.70613679,12.28878648,12.24563299,10.1336203,10.48105348,11.90050107,11.33776726,11.82590139,11.83695265,13.72197309,10.18293232,10.21053583,0.090041419,5.021971124,2.060378035,-0.178954903,3.392402803,1.511581381,3.11498754,0.807174888,2.52320447,2.078250655,-0.180082838,0.179356112,0.716653229,0.268432355,-0.535642548,-0.355666207,-0.355998576,-0.358744395,-0.450572227,-0.361434897,8.013686296,-5.201327235,-0.627071576,0.447387258,1.606927644,2.756413106,-8.721965112,-9.955156951,-1.892403352,-7.228697931,7.833603458,-5.021971124,0.089581654,0.715819614,1.071285096,2.400746899,-9.077963688,-10.31390135,-2.342975579,-7.590132827
402,50,3,5,13,7,Georgia,Baker County,3451,3447,3431,3311,3370,3346,3287,3192,3185,3158,3089,3047,2971,-16,-120,59,-24,-59,-95,-7,-27,-69,-42,-76,4,35,35,32,25,37,31,27,39,29,24,2,27,16,25,23,44,31,44,26,21,25,2,8,19,7,2,-7,0,-17,13,8,-1,0,2,2,3,-1,0,0,0,0,0,0,-19,-131,38,-33,-61,-90,-6,-11,-81,-50,-74,-19,-129,40,-30,-62,-90,-6,-11,-81,-50,-74,1,1,0,-1,1,2,-1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10.38267576,10.47747343,9.529481834,7.53806724,11.42151567,9.722440019,8.513321772,12.48599328,9.452411995,7.976071785,8.009492732,4.78970214,7.444907683,6.93502186,13.58234295,9.722440019,13.87356141,8.323995518,6.844850065,8.308408109,2.373183032,5.687771292,2.084574151,0.603045379,-2.160827288,0.0,-5.360239634,4.161997759,2.60756193,-0.332336324,0.593295758,0.598712768,0.893388922,-0.30152269,0.0,0.0,0.0,0.0,0.0,0.0,-38.86087214,11.37554258,-9.827278142,-18.39288406,-27.78206513,-1.881762584,-3.468390352,-25.93244757,-16.29726206,-24.592888,-38.26757639,11.97425535,-8.93388922,-18.69440675,-27.78206513,-1.881762584,-3.468390352,-25.93244757,-16.29726206,-24.592888
403,50,3,5,13,9,Georgia,Baldwin County,45720,45840,45703,45178,46522,46191,45920,45566,45260,44993,45001,45006,45099,-137,-525,1344,-331,-271,-354,-306,-267,8,5,93,119,500,466,485,455,488,418,404,434,401,390,129,370,399,372,402,414,435,492,494,482,510,-10,130,67,113,53,74,-17,-88,-60,-81,-120,7,22,32,28,19,36,55,44,44,32,30,-140,-681,1188,-478,-340,-469,-345,-222,27,52,180,-133,-659,1220,-450,-321,-433,-290,-178,71,84,210,6,4,57,6,-3,5,1,-1,-3,2,3,4655,4569,4577,5908,5765,5891,5722,5711,5569,5683,5826,5819,11.00340005,10.16357688,10.4623947,9.879384656,10.66829898,9.204412833,8.952610994,9.64508745,8.910418079,8.656567338,8.142516038,8.702290076,8.024764596,8.72859919,9.050565114,9.578754982,10.90268468,10.97850968,10.71027809,11.32012652,2.860884013,1.461286805,2.437630106,1.150785465,1.617733861,-0.374342149,-1.950073682,-1.333422228,-1.799860011,-2.663559181,0.484149602,0.697928026,0.60401454,0.412545733,0.787005662,1.211106952,0.975036841,0.977842967,0.711055807,0.665889795,-14.98663087,25.91057797,-10.31139107,-7.382397325,-10.25293488,-7.596943606,-4.919504061,0.600040003,1.155465686,3.995338771,-14.50248127,26.608506,-9.707376528,-6.969851592,-9.465929213,-6.385836655,-3.94446722,1.57788297,1.866521493,4.661228567
404,50,3,5,13,11,Georgia,Banks County,18395,18373,18404,18245,18128,18216,18220,18375,18292,18607,18918,19175,19352,31,-159,-117,88,4,155,-83,315,311,257,177,50,183,184,159,211,236,173,208,201,209,200,21,135,171,133,141,187,175,158,193,173,173,29,48,13,26,70,49,-2,50,8,36,27,1,-3,2,2,4,23,21,5,4,5,4,2,-206,-131,62,-70,86,-101,259,300,216,148,3,-209,-129,64,-66,109,-80,264,304,221,152,-1,2,-1,-2,0,-3,-1,1,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,9.986629922,10.11739477,8.749724851,11.58195192,12.89793688,9.436277852,11.27401827,10.7128581,10.97314467,10.38232928,7.367186008,9.402578836,7.318952234,7.7395982,10.21997541,9.545367769,8.563917721,10.28647568,9.083033628,8.980714823,2.619443914,0.714815935,1.430772617,3.842353716,2.67796147,-0.109089917,2.710100545,0.426382412,1.890111044,1.401614452,-0.163715245,0.109971682,0.110059432,0.21956307,1.257002323,1.145444132,0.271010055,0.213191206,0.262515423,0.207646586,-11.24178013,-7.20314519,3.411842395,-3.842353716,4.700095642,-5.509040827,14.03832082,15.98934044,11.34066626,7.682923664,-11.40549538,-7.093173508,3.521901827,-3.622790647,5.957097964,-4.363596695,14.30933088,16.20253165,11.60318169,7.890570249
405,50,3,5,13,13,Georgia,Barrow County,69367,69349,69670,69835,70128,71233,72843,74979,77108,79086,81105,83581,85588,321,165,293,1105,1610,2136,2129,1978,2019,2476,2007,263,1073,1077,1062,987,1038,1067,1026,1015,1052,1094,140,514,493,509,565,539,600,588,696,641,725,123,559,584,553,422,499,467,438,319,411,369,15,49,15,21,23,84,200,137,116,124,101,168,-443,-299,526,1140,1529,1454,1395,1576,1943,1543,183,-394,-284,547,1163,1613,1654,1532,1692,2067,1644,15,0,-7,5,25,24,8,8,8,-2,-6,289,289,319,290,287,336,290,290,398,318,359,360,15.38296118,15.38978159,15.0253606,13.7011022,14.04391769,14.03144253,13.13750848,12.67237236,12.77582794,12.93381175,7.368911509,7.044718961,7.201420477,7.843082817,7.292554559,7.890220729,7.529098429,8.689626758,7.78451113,8.571310347,8.014049676,8.345062624,7.823940125,5.858019379,6.751363126,6.141221801,5.608410054,3.982745597,4.991316809,4.362501404,0.702483782,0.214342362,0.29711165,0.319275938,1.136502009,2.630073576,1.754228716,1.448271126,1.505896069,1.1940722,-6.351026845,-4.272557747,7.441939432,15.82498126,20.68704252,19.1206349,17.86240189,19.67651117,23.59641985,18.24211292,-5.648543063,-4.058215385,7.739051082,16.1442572,21.82354453,21.75070848,19.6166306,21.12478229,25.10231592,19.43618512
406,50,3,5,13,15,Georgia,Bartow County,100157,100083,100041,100110,100241,100923,101251,102063,103418,105190,106488,107757,109426,-42,69,131,682,328,812,1355,1772,1298,1269,1669,353,1278,1240,1277,1319,1345,1335,1375,1237,1239,1236,236,837,760,844,846,847,917,835,956,1017,1091,117,441,480,433,473,498,418,540,281,222,145,3,19,13,-3,-4,39,109,53,45,40,27,-166,-389,-358,263,-117,285,825,1179,967,1005,1500,-163,-370,-345,260,-121,324,934,1232,1012,1045,1527,4,-2,-4,-11,-24,-10,3,0,5,2,-3,990,990,988,1001,965,943,981,967,977,977,1033,1034,12.77035838,12.37827613,12.69610865,13.04816643,13.2307662,12.99390211,13.18262003,11.68756319,11.56619758,11.38210633,8.363685418,7.586685367,8.391163429,8.369028659,8.331939758,8.925399429,8.005445621,9.032587232,9.493803823,10.04682687,4.406672962,4.791590758,4.304945219,4.679137772,4.898826446,4.068502684,5.177174413,2.654975954,2.072393755,1.335279465,0.189856658,0.12977225,-0.02982641,-0.039569875,0.383643035,1.060925341,0.508130081,0.425174085,0.37340428,0.248638245,-3.887065266,-3.573728107,2.614781969,-1.157418857,2.803545255,8.029939508,11.30349747,9.136518675,9.381782539,13.81323584,-3.697208608,-3.443955857,2.584955559,-1.196988732,3.18718829,9.090864849,11.81162755,9.56169276,9.755186819,14.06187409
407,50,3,5,13,17,Georgia,Ben Hill County,17634,17662,17649,17595,17608,17461,17462,17368,17267,17059,16794,16711,16614,-13,-54,13,-147,1,-94,-101,-208,-265,-83,-97,61,262,264,193,226,248,228,214,189,237,214,63,207,207,213,208,211,239,219,228,231,250,-2,55,57,-20,18,37,-11,-5,-39,6,-36,0,-3,-3,-3,0,4,21,9,8,7,9,-9,-106,-42,-122,-15,-135,-110,-213,-235,-97,-71,-9,-109,-45,-125,-15,-131,-89,-204,-227,-90,-62,-2,0,1,-2,-2,0,-1,1,1,1,1,308,308,308,312,299,312,314,297,309,344,299,298,14.86777891,14.9987217,11.00687217,12.94275979,14.24059719,13.16587267,12.46868263,11.16592326,14.14714222,12.8432108,11.74668029,11.76036133,12.14748068,11.91192051,12.11599196,13.80106828,12.76000699,13.47000266,13.78898672,15.00375094,3.121098627,3.238360367,-1.140608515,1.030839275,2.124605225,-0.635195611,-0.291324361,-2.304079402,0.358155499,-2.160540135,-0.170241743,-0.170440019,-0.171091277,0.0,0.229687051,1.212646167,0.524383849,0.472631672,0.417848082,0.540135034,-6.015208262,-2.38616027,-6.957711939,-0.859032729,-7.751937984,-6.351956114,-12.41041776,-13.88355537,-5.79018057,-4.261065266,-6.185450006,-2.55660029,-7.128803217,-0.859032729,-7.522250933,-5.139309947,-11.88603391,-13.4109237,-5.372332488,-3.720930233
