table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in Georgia: April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
,,2020,2021
Georgia,"10,711,908","10,725,800","10,799,566"
".Appling County, Georgia","18,444","18,428","18,488"
".Atkinson County, Georgia","8,286","8,301","8,391"
".Bacon County, Georgia","11,140","11,123","11,079"
".Baker County, Georgia","2,876","2,844","2,819"
".Baldwin County, Georgia","43,799","43,773","43,781"
".Banks County, Georgia","18,035","18,069","18,562"
".Barrow County, Georgia","83,505","83,963","86,658"
".Bartow County, Georgia","108,901","109,311","110,843"
".Ben Hill County, Georgia","17,194","17,153","17,158"
".Berrien County, Georgia","18,160","18,159","18,147"
".Bibb County, Georgia","157,346","157,104","156,762"
".Bleckley County, Georgia","12,583","12,577","12,607"
".Brantley County, Georgia","18,021","18,040","18,101"
".Brooks County, Georgia","16,301","16,232","16,270"
".Bryan County, Georgia","44,738","44,999","46,938"
".Bulloch County, Georgia","81,099","81,378","82,442"
".Burke County, Georgia","24,596","24,621","24,310"
".Butts County, Georgia","25,434","25,542","25,781"
".Calhoun County, Georgia","5,573","5,560","5,509"
".Camden County, Georgia","54,768","54,911","55,664"
".Candler County, Georgia","10,981","11,001","11,037"
".Carroll County, Georgia","119,148","119,463","121,968"
".Catoosa County, Georgia","67,872","67,976","68,397"
".Charlton County, Georgia","12,518","12,530","12,766"
".Chatham County, Georgia","295,291","294,904","296,329"
".Chattahoochee County, Georgia","9,565","9,482","9,048"
".Chattooga County, Georgia","24,965","24,921","24,932"
".Cherokee County, Georgia","266,620","268,043","274,615"
".Clarke County, Georgia","128,671","128,489","128,711"
".Clay County, Georgia","2,848","2,835","2,882"
".Clayton County, Georgia","297,595","297,417","297,100"
".Clinch County, Georgia","6,749","6,723","6,725"
".Cobb County, Georgia","766,149","766,209","766,802"
".Coffee County, Georgia","43,092","43,047","43,386"
".Colquitt County, Georgia","45,898","45,866","45,812"
".Columbia County, Georgia","156,010","156,773","159,639"
".Cook County, Georgia","17,229","17,232","17,225"
".Coweta County, Georgia","146,158","146,653","149,956"
".Crawford County, Georgia","12,130","12,100","12,153"
".Crisp County, Georgia","20,128","20,042","19,879"
".Dade County, Georgia","16,251","16,224","16,326"
".Dawson County, Georgia","26,798","27,047","28,497"
".Decatur County, Georgia","29,367","29,338","29,038"
".DeKalb County, Georgia","764,382","763,831","757,718"
".Dodge County, Georgia","19,925","19,849","19,759"
".Dooly County, Georgia","11,208","11,142","10,885"
".Dougherty County, Georgia","85,790","85,366","84,844"
".Douglas County, Georgia","144,237","144,497","145,814"
".Early County, Georgia","10,854","10,813","10,619"
".Echols County, Georgia","3,697","3,696","3,699"
".Effingham County, Georgia","64,769","65,150","66,741"
".Elbert County, Georgia","19,637","19,627","19,579"
".Emanuel County, Georgia","22,768","22,730","22,716"
".Evans County, Georgia","10,774","10,757","10,672"
